video,action,true_step,predicted_step
coffee-test-1,put colander,2,3
coffee-test-1,put colander,2,3
coffee-test-1,put colander,2,3
coffee-test-1,put colander,2,3
coffee-test-1,put colander,2,3
coffee-test-1,put colander,2,3
coffee-test-1,put colander,2,3
coffee-test-1,put colander,2,3
coffee-test-1,put colander,2,3
coffee-test-1,put colander,2,3
coffee-test-1,put colander,2,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,fold filter,3,3
coffee-test-1,put filter,3,3
coffee-test-1,put filter,3,3
coffee-test-1,put filter,3,3
coffee-test-1,put filter,3,3
coffee-test-1,put filter,3,3
coffee-test-1,put filter,3,3
coffee-test-1,put filter,3,3
coffee-test-1,put filter,3,3
coffee-test-1,put filter,3,3
coffee-test-1,put filter,3,3
coffee-test-1,put filter,3,3
coffee-test-1,put filter,3,3
coffee-test-1,put filter,3,3
coffee-test-1,put filter,3,3
coffee-test-1,put filter,3,3
coffee-test-1,put filter,3,3
coffee-test-1,turn-on scale,4,3
coffee-test-1,turn-on scale,4,3
coffee-test-1,turn-on scale,4,3
coffee-test-1,turn-on scale,4,3
coffee-test-1,turn-on scale,4,3
coffee-test-1,turn-on scale,4,3
coffee-test-1,turn-on scale,4,3
coffee-test-1,turn-on scale,4,3
coffee-test-1,turn-on scale,4,3
coffee-test-1,measure coffee,4,3
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,measure coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,close maker:coffee,4,4
coffee-test-1,close maker:coffee,4,4
coffee-test-1,close maker:coffee,4,4
coffee-test-1,close maker:coffee,4,4
coffee-test-1,close maker:coffee,4,4
coffee-test-1,close maker:coffee,4,4
coffee-test-1,close maker:coffee,4,4
coffee-test-1,close maker:coffee,4,4
coffee-test-1,close maker:coffee,4,4
coffee-test-1,close maker:coffee,4,4
coffee-test-1,close maker:coffee,4,4
coffee-test-1,close maker:coffee,4,4
coffee-test-1,close maker:coffee,4,4
coffee-test-1,close maker:coffee,4,4
coffee-test-1,close maker:coffee,4,4
coffee-test-1,close maker:coffee,4,4
coffee-test-1,close maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,turn-on maker:coffee,4,4
coffee-test-1,open maker:coffee,4,4
coffee-test-1,open maker:coffee,4,4
coffee-test-1,open maker:coffee,4,4
coffee-test-1,open maker:coffee,4,4
coffee-test-1,open maker:coffee,4,4
coffee-test-1,open maker:coffee,4,4
coffee-test-1,open maker:coffee,4,4
coffee-test-1,open maker:coffee,4,4
coffee-test-1,open maker:coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
coffee-test-1,move coffee,4,4
